"pokemon","nature","ev","hp","atk","def","spa","spd","spe","percent"
"Rayquaza-Mega","Adamant","20/76/4/0/156/252","20","76","4","0","156","252","0.547"
"Rayquaza-Mega","Lonely","4/252/0/0/0/252","4","252","0","0","0","252","0.545"
"Rayquaza-Mega","Hasty","228/0/68/44/4/164","228","0","68","44","4","164","0.539"
"Rayquaza-Mega","Adamant","236/0/0/0/20/252","236","0","0","0","20","252","0.519"
"Tapu Koko","Timid","0/0/0/252/4/252","0","0","0","252","4","252","23.282"
"Tapu Koko","Timid","4/0/0/252/0/252","4","0","0","252","0","252","17.227"
"Tapu Koko","Timid","4/0/4/252/100/148","4","0","4","252","100","148","14.901"
"Tapu Koko","Timid","0/0/0/244/12/252","0","0","0","244","12","252","5.798"
"Tapu Koko","Jolly","100/116/4/0/140/148","100","116","4","0","140","148","2.057"
"Tapu Koko","Timid","100/0/4/4/204/196","100","0","4","4","204","196","1.732"
"Tapu Koko","Jolly","196/148/4/0/20/140","196","148","4","0","20","140","1.641"
"Tapu Koko","Timid","12/0/0/0/244/252","12","0","0","0","244","252","1.455"
"Tapu Koko","Jolly","84/0/0/0/244/180","84","0","0","0","244","180","1.444"
"Tapu Koko","Timid","108/0/0/0/148/252","108","0","0","0","148","252","1.444"
"Tapu Koko","Jolly","220/4/4/0/100/180","220","4","4","0","100","180","1.187"
"Tapu Koko","Jolly","244/4/4/0/100/156","244","4","4","0","100","156","1.130"
"Tapu Koko","Jolly","172/0/0/0/196/140","172","0","0","0","196","140","0.995"
"Tapu Koko","Jolly","236/116/4/0/4/148","236","116","4","0","4","148","0.875"
"Tapu Koko","Timid","252/0/0/0/4/252","252","0","0","0","4","252","0.781"
"Tapu Koko","Timid","28/0/20/204/4/252","28","0","20","204","4","252","0.758"
"Tapu Koko","Jolly","140/4/4/0/180/180","140","4","4","0","180","180","0.723"
"Tapu Koko","Jolly","204/0/0/0/164/140","204","0","0","0","164","140","0.716"
"Tapu Koko","Timid","252/0/0/4/0/252","252","0","0","4","0","252","0.687"
"Tapu Koko","Jolly","236/4/4/0/124/140","236","4","4","0","124","140","0.658"
"Tapu Koko","Jolly","28/4/4/0/220/252","28","4","4","0","220","252","0.607"
"Tapu Koko","Timid","6/0/0/252/0/252","6","0","0","252","0","252","0.531"
"Xerneas","Modest","244/0/68/148/44/4","244","0","68","148","44","4","15.503"
"Xerneas","Timid","44/0/20/188/4/252","44","0","20","188","4","252","14.910"
"Xerneas","Timid","108/0/76/68/4/252","108","0","76","68","4","252","5.684"
"Xerneas","Modest","188/0/116/84/4/116","188","0","116","84","4","116","5.236"
"Xerneas","Modest","252/0/140/68/4/44","252","0","140","68","4","44","4.307"
"Xerneas","Timid","124/0/12/116/4/252","124","0","12","116","4","252","4.208"
"Xerneas","Timid","4/0/0/252/0/252","4","0","0","252","0","252","4.097"
"Xerneas","Timid","4/0/4/244/4/252","4","0","4","244","4","252","1.934"
"Xerneas","Timid","84/0/60/108/4/252","84","0","60","108","4","252","1.521"
"Xerneas","Timid","44/0/4/188/20/252","44","0","4","188","20","252","1.367"
"Xerneas","Modest","188/0/180/68/12/60","188","0","180","68","12","60","1.169"
"Xerneas","Modest","252/0/124/60/44/28","252","0","124","60","44","28","1.042"
"Xerneas","Modest","188/0/92/28/12/188","188","0","92","28","12","188","0.967"
"Xerneas","Modest","236/0/140/4/100/28","236","0","140","4","100","28","0.920"
"Xerneas","Modest","188/0/116/12/4/188","188","0","116","12","4","188","0.915"
"Xerneas","Timid","28/0/20/204/4/252","28","0","20","204","4","252","0.831"
"Xerneas","Modest","28/0/12/196/76/196","28","0","12","196","76","196","0.828"
"Xerneas","Modest","252/0/28/68/100/60","252","0","28","68","100","60","0.815"
"Xerneas","Modest","4/0/0/252/0/252","4","0","0","252","0","252","0.803"
"Xerneas","Modest","124/0/84/228/44/28","124","0","84","228","44","28","0.677"
"Xerneas","Modest","252/0/124/68/4/60","252","0","124","68","4","60","0.614"
"Xerneas","Timid","0/0/0/252/4/252","0","0","0","252","4","252","0.607"
"Xerneas","Modest","204/0/108/116/4/76","204","0","108","116","4","76","0.585"
"Xerneas","Timid","100/0/12/132/12/252","100","0","12","132","12","252","0.563"
"Xerneas","Modest","156/0/148/12/4/188","156","0","148","12","4","188","0.558"
"Tapu Fini","Sassy","244/0/12/0/252/0","244","0","12","0","252","0","12.829"
"Tapu Fini","Modest","236/0/4/124/20/124","236","0","4","124","20","124","5.391"
"Tapu Fini","Calm","252/0/132/12/76/36","252","0","132","12","76","36","4.525"
"Tapu Fini","Calm","244/0/4/4/108/148","244","0","4","4","108","148","3.981"
"Tapu Fini","Bold","244/0/116/12/84/52","244","0","116","12","84","52","3.170"
"Tapu Fini","Bold","244/0/116/4/76/68","244","0","116","4","76","68","2.886"
"Tapu Fini","Calm","244/0/188/0/76/0","244","0","188","0","76","0","2.705"
"Tapu Fini","Calm","244/0/108/0/156/0","244","0","108","0","156","0","2.339"
"Tapu Fini","Calm","244/0/4/4/76/180","244","0","4","4","76","180","2.250"
"Tapu Fini","Sassy","244/0/188/0/76/0","244","0","188","0","76","0","1.938"
"Tapu Fini","Sassy","244/0/76/0/188/0","244","0","76","0","188","0","1.650"
"Tapu Fini","Modest","252/0/0/252/4/0","252","0","0","252","4","0","1.634"
"Tapu Fini","Quiet","252/0/4/252/0/0","252","0","4","252","0","0","1.619"
"Tapu Fini","Calm","244/0/12/4/204/44","244","0","12","4","204","44","1.467"
"Tapu Fini","Calm","220/0/0/0/204/84","220","0","0","0","204","84","1.457"
"Tapu Fini","Careful","196/0/0/0/76/236","196","0","0","0","76","236","1.455"
"Tapu Fini","Relaxed","244/0/188/0/76/0","244","0","188","0","76","0","1.335"
"Tapu Fini","Calm","244/0/180/4/76/4","244","0","180","4","76","4","1.291"
"Tapu Fini","Calm","252/0/68/4/76/108","252","0","68","4","76","108","1.259"
"Tapu Fini","Sassy","244/0/164/0/100/0","244","0","164","0","100","0","1.220"
"Tapu Fini","Sassy","252/0/180/0/76/0","252","0","180","0","76","0","1.153"
"Tapu Fini","Sassy","244/0/92/92/76/0","244","0","92","92","76","0","1.138"
"Tapu Fini","Modest","252/0/44/196/12/4","252","0","44","196","12","4","0.876"
"Tapu Fini","Calm","236/0/252/0/20/0","236","0","252","0","20","0","0.820"
"Tapu Fini","Relaxed","244/0/196/0/68/0","244","0","196","0","68","0","0.731"
"Tapu Fini","Quiet","252/0/0/252/4/0","252","0","0","252","4","0","0.660"
"Tapu Fini","Modest","244/0/4/252/4/4","244","0","4","252","4","4","0.589"
"Tapu Fini","Calm","252/0/0/0/76/180","252","0","0","0","76","180","0.586"
"Tapu Fini","Calm","244/0/44/4/76/140","244","0","44","4","76","140","0.564"
"Tapu Fini","Calm","244/0/28/4/164/68","244","0","28","4","164","68","0.545"
"Tapu Fini","Calm","244/0/60/124/76/4","244","0","60","124","76","4","0.510"
"Groudon-Primal","Timid","6/0/0/252/0/252","6","0","0","252","0","252","12.346"
"Groudon-Primal","Timid","4/0/0/252/0/252","4","0","0","252","0","252","7.336"
"Groudon-Primal","Adamant","252/52/4/0/100/100","252","52","4","0","100","100","4.775"
"Groudon-Primal","Adamant","252/76/0/0/180/0","252","76","0","0","180","0","4.001"
"Groudon-Primal","Adamant","220/156/4/0/116/12","220","156","4","0","116","12","3.177"
"Groudon-Primal","Adamant","244/12/0/0/252/0","244","12","0","0","252","0","2.794"
"Groudon-Primal","Timid","0/0/0/252/4/252","0","0","0","252","4","252","2.566"
"Groudon-Primal","Jolly","0/252/0/0/4/252","0","252","0","0","4","252","2.493"
"Groudon-Primal","Brave","252/156/0/0/100/0","252","156","0","0","100","0","1.901"
"Groudon-Primal","Adamant","220/108/0/0/180/0","220","108","0","0","180","0","1.486"
"Groudon-Primal","Brave","252/36/0/68/100/52","252","36","0","68","100","52","1.462"
"Groudon-Primal","Adamant","252/76/4/0/116/60","252","76","4","0","116","60","1.250"
"Groudon-Primal","Jolly","4/244/4/0/4/252","4","244","4","0","4","252","1.206"
"Groudon-Primal","Adamant","0/156/0/0/212/140","0","156","0","0","212","140","1.104"
"Groudon-Primal","Adamant","252/60/4/0/156/36","252","60","4","0","156","36","1.071"
"Groudon-Primal","Jolly","172/76/4/0/4/252","172","76","4","0","4","252","1.034"
"Groudon-Primal","Modest","252/0/0/156/100/0","252","0","0","156","100","0","1.016"
"Groudon-Primal","Hasty","4/4/0/236/12/252","4","4","0","236","12","252","1.014"
"Groudon-Primal","Adamant","108/156/0/0/244/0","108","156","0","0","244","0","0.947"
"Groudon-Primal","Brave","252/76/4/20/156/0","252","76","4","20","156","0","0.822"
"Groudon-Primal","Brave","252/76/4/0/156/20","252","76","4","0","156","20","0.774"
"Groudon-Primal","Adamant","244/36/4/0/196/28","244","36","4","0","196","28","0.761"
"Groudon-Primal","Lonely","172/4/0/4/140/188","172","4","0","4","140","188","0.758"
"Groudon-Primal","Adamant","252/4/0/0/252/0","252","4","0","0","252","0","0.756"
"Groudon-Primal","Adamant","156/108/4/0/44/196","156","108","4","0","44","196","0.743"
"Groudon-Primal","Modest","4/0/0/252/0/252","4","0","0","252","0","252","0.736"
"Groudon-Primal","Adamant","60/196/0/0/252/0","60","196","0","0","252","0","0.625"
"Groudon-Primal","Adamant","252/92/4/0/156/4","252","92","4","0","156","4","0.621"
"Groudon-Primal","Adamant","252/76/12/0/164/0","252","76","12","0","164","0","0.619"
"Groudon-Primal","Modest","12/0/4/76/220/196","12","0","4","76","220","196","0.561"
"Groudon-Primal","Adamant","252/100/0/0/156/0","252","100","0","0","156","0","0.554"
"Groudon-Primal","Adamant","252/76/60/0/116/0","252","76","60","0","116","0","0.537"
"Groudon-Primal","Hasty","0/0/0/252/128/128","0","0","0","252","128","128","0.536"
"Lunala","Timid","4/0/0/252/0/252","4","0","0","252","0","252","26.253"
"Lunala","Modest","12/0/4/252/36/204","12","0","4","252","36","204","21.571"
"Lunala","Modest","228/0/28/252/0/0","228","0","28","252","0","0","9.892"
"Lunala","Modest","4/0/0/252/0/252","4","0","0","252","0","252","8.942"
"Lunala","Timid","0/0/0/252/4/252","0","0","0","252","4","252","6.512"
"Lunala","Modest","124/0/76/252/4/52","124","0","76","252","4","52","2.481"
"Lunala","Modest","164/0/60/236/4/44","164","0","60","236","4","44","2.150"
"Lunala","Modest","0/0/0/252/4/252","0","0","0","252","4","252","1.705"
"Lunala","Timid","4/0/28/196/28/252","4","0","28","196","28","252","1.684"
"Lunala","Timid","4/0/60/188/4/252","4","0","60","188","4","252","1.276"
"Lunala","Timid","12/0/0/244/0/252","12","0","0","244","0","252","1.190"
"Lunala","Modest","252/0/0/252/4/0","252","0","0","252","4","0","0.973"
"Lunala","Modest","252/0/228/20/4/4","252","0","228","20","4","4","0.890"
"Lunala","Timid","36/0/20/196/4/252","36","0","20","196","4","252","0.867"
"Lunala","Timid","4/0/4/244/4/252","4","0","4","244","4","252","0.694"
"Lunala","Modest","244/0/164/100/0/0","244","0","164","100","0","0","0.689"
"Lunala","Quiet","252/0/4/252/0/0","252","0","4","252","0","0","0.645"
"Lunala","Timid","4/0/36/212/4/252","4","0","36","212","4","252","0.644"
"Lunala","Modest","164/0/92/252/0/0","164","0","92","252","0","0","0.619"
"Kyogre-Primal","Modest","252/0/204/52/0/0","252","0","204","52","0","0","11.786"
"Kyogre-Primal","Modest","108/0/140/4/4/252","108","0","140","4","4","252","5.661"
"Kyogre-Primal","Modest","244/0/4/4/4/252","244","0","4","4","4","252","4.447"
"Kyogre-Primal","Modest","204/0/156/4/4/140","204","0","156","4","4","140","3.441"
"Kyogre-Primal","Timid","0/0/0/252/4/252","0","0","0","252","4","252","3.379"
"Kyogre-Primal","Modest","252/0/44/156/12/44","252","0","44","156","12","44","3.193"
"Kyogre-Primal","Timid","236/0/12/4/4/252","236","0","12","4","4","252","2.365"
"Kyogre-Primal","Modest","252/0/156/44/52/4","252","0","156","44","52","4","2.360"
"Kyogre-Primal","Modest","0/0/0/252/4/252","0","0","0","252","4","252","2.346"
"Kyogre-Primal","Bold","196/0/140/68/4/100","196","0","140","68","4","100","2.304"
"Kyogre-Primal","Modest","204/0/196/44/4/60","204","0","196","44","4","60","1.755"
"Kyogre-Primal","Modest","204/0/204/44/4/52","204","0","204","44","4","52","1.713"
"Kyogre-Primal","Timid","244/0/4/4/4/252","244","0","4","4","4","252","1.632"
"Kyogre-Primal","Modest","252/0/60/156/4/36","252","0","60","156","4","36","1.570"
"Kyogre-Primal","Modest","236/0/252/4/4/12","236","0","252","4","4","12","1.481"
"Kyogre-Primal","Modest","252/0/172/76/4/4","252","0","172","76","4","4","1.470"
"Kyogre-Primal","Modest","252/0/204/36/4/12","252","0","204","36","4","12","1.397"
"Kyogre-Primal","Modest","236/0/12/20/4/236","236","0","12","20","4","236","1.237"
"Kyogre-Primal","Modest","252/0/100/76/4/76","252","0","100","76","4","76","1.217"
"Kyogre-Primal","Modest","204/0/228/28/4/44","204","0","228","28","4","44","1.025"
"Kyogre-Primal","Modest","204/0/196/0/0/108","204","0","196","0","0","108","1.005"
"Kyogre-Primal","Modest","236/0/220/36/4/12","236","0","220","36","4","12","0.838"
"Kyogre-Primal","Bold","252/0/108/4/4/140","252","0","108","4","4","140","0.800"
"Kyogre-Primal","Timid","4/0/0/252/0/252","4","0","0","252","0","252","0.793"
"Kyogre-Primal","Modest","244/0/204/52/4/0","244","0","204","52","4","0","0.785"
"Kyogre-Primal","Modest","124/0/132/44/4/204","124","0","132","44","4","204","0.771"
"Kyogre-Primal","Modest","252/0/244/4/4/4","252","0","244","4","4","4","0.745"
"Kyogre-Primal","Modest","252/0/0/252/4/0","252","0","0","252","4","0","0.708"
"Kyogre-Primal","Modest","172/0/236/0/0/100","172","0","236","0","0","100","0.685"
"Kyogre-Primal","Modest","252/0/252/4/0/0","252","0","252","4","0","0","0.679"
"Kyogre-Primal","Modest","252/0/92/76/4/84","252","0","92","76","4","84","0.669"
"Kyogre-Primal","Modest","252/0/164/0/0/92","252","0","164","0","0","92","0.668"
"Kyogre-Primal","Modest","204/0/204/36/4/60","204","0","204","36","4","60","0.647"
"Kyogre-Primal","Timid","4/0/4/244/4/252","4","0","4","244","4","252","0.646"
"Kyogre-Primal","Modest","252/0/124/0/0/132","252","0","124","0","0","132","0.593"
"Kyogre-Primal","Timid","204/0/44/4/4/252","204","0","44","4","4","252","0.591"
"Kyogre-Primal","Modest","204/0/156/76/4/68","204","0","156","76","4","68","0.576"
"Kyogre-Primal","Timid","252/0/0/4/0/252","252","0","0","4","0","252","0.567"
"Kyogre-Primal","Modest","204/0/156/44/4/100","204","0","156","44","4","100","0.559"
"Kyogre-Primal","Modest","204/0/4/44/4/252","204","0","4","44","4","252","0.545"
"Kyogre-Primal","Modest","252/0/0/252/0/0","252","0","0","252","0","0","0.537"
"Salamence-Mega","Jolly","4/252/0/0/0/252","4","252","0","0","0","252","31.016"
"Salamence-Mega","Jolly","6/252/0/0/0/252","6","252","0","0","0","252","6.975"
"Salamence-Mega","Hasty","4/156/0/68/28/252","4","156","0","68","28","252","6.470"
"Salamence-Mega","Hasty","0/196/0/60/0/252","0","196","0","60","0","252","5.696"
"Salamence-Mega","Hasty","0/252/0/4/0/252","0","252","0","4","0","252","5.235"
"Salamence-Mega","Hasty","44/4/0/4/236/220","44","4","0","4","236","220","1.768"
"Salamence-Mega","Jolly","44/0/0/0/244/220","44","0","0","0","244","220","1.748"
"Salamence-Mega","Hasty","0/140/0/116/0/252","0","140","0","116","0","252","1.682"
"Salamence-Mega","Hasty","0/156/0/100/0/252","0","156","0","100","0","252","1.389"
"Salamence-Mega","Hasty","4/0/0/0/252/252","4","0","0","0","252","252","1.354"
"Salamence-Mega","Naive","0/4/0/252/0/252","0","4","0","252","0","252","1.281"
"Salamence-Mega","Hasty","4/156/0/92/4/252","4","156","0","92","4","252","1.225"
"Salamence-Mega","Hasty","4/196/0/52/4/252","4","196","0","52","4","252","1.088"
"Salamence-Mega","Hasty","0/188/0/68/0/252","0","188","0","68","0","252","1.018"
"Salamence-Mega","Hasty","0/68/0/188/0/252","0","68","0","188","0","252","0.939"
"Salamence-Mega","Naive","4/0/0/252/0/252","4","0","0","252","0","252","0.900"
"Salamence-Mega","Naive","0/84/0/172/0/252","0","84","0","172","0","252","0.895"
"Salamence-Mega","Modest","128/0/0/128/252/0","128","0","0","128","252","0","0.805"
"Salamence-Mega","Hasty","0/172/0/84/0/252","0","172","0","84","0","252","0.768"
"Salamence-Mega","Hasty","36/0/0/0/244/228","36","0","0","0","244","228","0.714"
"Salamence-Mega","Hasty","4/252/0/0/0/252","4","252","0","0","0","252","0.696"
"Salamence-Mega","Hasty","20/164/0/68/4/252","20","164","0","68","4","252","0.651"
"Salamence-Mega","Hasty","52/68/0/4/252/132","52","68","0","4","252","132","0.633"
"Salamence-Mega","Naive","0/0/60/220/0/228","0","0","60","220","0","228","0.545"
"Salamence-Mega","Hasty","52/100/0/4/252/100","52","100","0","4","252","100","0.513"
"Salamence-Mega","Hasty","0/44/0/212/0/252","0","44","0","212","0","252","0.503"
"Kartana","Jolly","4/4/4/0/244/252","4","4","4","0","244","252","22.664"
"Kartana","Jolly","52/12/4/0/228/212","52","12","4","0","228","212","15.637"
"Kartana","Jolly","36/20/4/0/236/212","36","20","4","0","236","212","10.014"
"Kartana","Jolly","68/0/0/0/252/188","68","0","0","0","252","188","9.694"
"Kartana","Jolly","44/0/0/0/252/212","44","0","0","0","252","212","8.506"
"Kartana","Jolly","52/84/4/0/116/252","52","84","4","0","116","252","4.702"
"Kartana","Jolly","4/252/0/0/0/252","4","252","0","0","0","252","3.244"
"Kartana","Jolly","84/0/0/0/244/180","84","0","0","0","244","180","2.999"
"Kartana","Jolly","0/252/0/0/4/252","0","252","0","0","4","252","2.397"
"Kartana","Jolly","36/4/4/0/252/212","36","4","4","0","252","212","1.960"
"Kartana","Jolly","12/0/0/0/244/252","12","0","0","0","244","252","1.024"
"Kartana","Jolly","4/0/0/0/252/252","4","0","0","0","252","252","1.009"
"Kartana","Jolly","68/0/0/0/188/252","68","0","0","0","188","252","0.836"
"Kartana","Jolly","4/36/4/0/252/212","4","36","4","0","252","212","0.761"
"Kartana","Adamant","60/4/4/0/220/220","60","4","4","0","220","220","0.716"
"Kartana","Jolly","4/52/4/0/236/212","4","52","4","0","236","212","0.703"
"Kartana","Jolly","20/36/4/0/236/212","20","36","4","0","236","212","0.622"
"Kartana","Adamant","20/4/4/0/252/228","20","4","4","0","252","228","0.567"
"Kartana","Adamant","252/4/0/0/212/36","252","4","0","0","212","36","0.565"
"Kartana","Adamant","204/36/4/0/228/36","204","36","4","0","228","36","0.554"
"Kartana","Jolly","100/252/4/0/4/148","100","252","4","0","4","148","0.530"
"Kartana","Jolly","68/4/4/0/244/188","68","4","4","0","244","188","0.517"
"Amoonguss","Sassy","252/0/100/0/156/0","252","0","100","0","156","0","11.371"
"Amoonguss","Sassy","252/0/4/0/252/0","252","0","4","0","252","0","8.336"
"Amoonguss","Relaxed","236/0/148/0/124/0","236","0","148","0","124","0","7.217"
"Amoonguss","Sassy","236/0/76/0/196/0","236","0","76","0","196","0","4.907"
"Amoonguss","Sassy","252/0/124/0/132/0","252","0","124","0","132","0","4.886"
"Amoonguss","Sassy","236/0/180/0/92/0","236","0","180","0","92","0","3.920"
"Amoonguss","Bold","236/0/124/0/148/0","236","0","124","0","148","0","3.551"
"Amoonguss","Sassy","252/0/68/0/188/0","252","0","68","0","188","0","3.375"
"Amoonguss","Sassy","244/0/172/0/92/0","244","0","172","0","92","0","2.410"
"Amoonguss","Bold","236/0/148/0/124/0","236","0","148","0","124","0","1.998"
"Amoonguss","Relaxed","252/0/196/0/60/0","252","0","196","0","60","0","1.960"
"Amoonguss","Timid","4/0/0/0/252/252","4","0","0","0","252","252","1.713"
"Amoonguss","Timid","252/0/4/0/0/252","252","0","4","0","0","252","1.711"
"Amoonguss","Sassy","236/0/84/0/188/0","236","0","84","0","188","0","1.661"
"Amoonguss","Sassy","252/0/156/0/100/0","252","0","156","0","100","0","1.637"
"Amoonguss","Calm","252/0/4/0/252/0","252","0","4","0","252","0","1.386"
"Amoonguss","Calm","244/0/76/0/188/0","244","0","76","0","188","0","1.357"
"Amoonguss","Calm","252/0/100/0/156/0","252","0","100","0","156","0","1.289"
"Amoonguss","Timid","12/0/0/0/244/252","12","0","0","0","244","252","1.288"
"Amoonguss","Sassy","236/0/60/0/212/0","236","0","60","0","212","0","1.137"
"Amoonguss","Sassy","236/0/36/0/236/0","236","0","36","0","236","0","1.077"
"Amoonguss","Sassy","236/0/20/0/252/0","236","0","20","0","252","0","1.069"
"Amoonguss","Modest","236/0/20/252/0/0","236","0","20","252","0","0","1.040"
"Amoonguss","Sassy","252/0/20/0/236/0","252","0","20","0","236","0","1.025"
"Amoonguss","Timid","252/0/0/0/4/252","252","0","0","0","4","252","0.993"
"Amoonguss","Calm","244/0/164/0/100/0","244","0","164","0","100","0","0.992"
"Amoonguss","Sassy","252/0/44/0/212/0","252","0","44","0","212","0","0.915"
"Amoonguss","Sassy","244/0/76/0/188/0","244","0","76","0","188","0","0.885"
"Amoonguss","Calm","236/0/68/4/196/4","236","0","68","4","196","4","0.876"
"Amoonguss","Sassy","236/0/116/0/156/0","236","0","116","0","156","0","0.867"
"Amoonguss","Calm","252/0/124/0/132/0","252","0","124","0","132","0","0.792"
"Amoonguss","Calm","236/0/76/0/196/0","236","0","76","0","196","0","0.790"
"Amoonguss","Sassy","236/0/132/0/140/0","236","0","132","0","140","0","0.736"
"Amoonguss","Relaxed","236/0/108/0/164/0","236","0","108","0","164","0","0.717"
"Amoonguss","Calm","236/0/196/0/76/0","236","0","196","0","76","0","0.676"
"Amoonguss","Sassy","228/0/156/0/124/0","228","0","156","0","124","0","0.637"
"Amoonguss","Sassy","204/0/164/0/140/0","204","0","164","0","140","0","0.583"
"Amoonguss","Timid","68/0/0/0/188/252","68","0","0","0","188","252","0.571"
"Amoonguss","Relaxed","236/0/84/0/188/0","236","0","84","0","188","0","0.522"
"Kangaskhan-Mega","Jolly","4/252/0/0/0/252","4","252","0","0","0","252","73.223"
"Kangaskhan-Mega","Jolly","0/252/0/0/4/252","0","252","0","0","4","252","13.177"
"Kangaskhan-Mega","Jolly","140/108/4/0/4/252","140","108","4","0","4","252","4.657"
